0 (猜一四字成語),身無分文,一元復始,一無所有,3
0＋0＝1(猜一四字成語),無法無天,自欺欺人,無中生有,3
1X1=1(猜一四字成語),自欺欺人,一石二鳥,一成不變,3
2、4、6、8、10 (猜一四字成語),成雙成對,無奇不有,無獨有偶,3
5，10 (猜一四字成語),缺一不可,成雙成對,一五一十,3
I am bad luck. I am black. I have four legs and a tail. Who am I?（猜與萬聖節有關的動物）,Crow烏鴉,Black cat黑貓,Bat蝙蝠,2
What has four legs but doesn't move? （猜一家具）,A chair 椅子,A table 桌子,baby 嬰兒,2
What kind of apple isn't an apple?（猜一水果）,A green apple,A pineapple ,Fuji apple,2
八兩肉 (猜一字),胖,肥,霸,1
八哥(猜一字),兑,稅,兌,3
白鬍子，白眉毛，穿紅衣，戴紅帽，北風來，他也到，背著禮物一大包，小孩見了瞇瞇笑。(猜一外國民俗人物),吸血鬼,小精靈,聖誕老人,3
白色蝴蝶溪邊飛。（猜一植物）,玫瑰花　,野薑花,野莧菜,2
百年前的月亮(猜一字),胡,胖,膏,1
百花開遍(猜一商代人名),商湯,叔齊,紂王,2
北地(猜一字),陞,盟,塑,3
北極耕田（猜一外國地名）,雪梨,紐約                                      ,洛杉磯,1
半個朋友不見了。（猜一字）,日,月,胖,2
半真半假 (猜一字),值,直,植,1
奔走住月城(猜一動物名),蟾蜍,兔子,蝌蚪,1
傍晚減去早晨＝1(猜一四字成語),夜幕低垂,昏天暗地,朝三暮四,3
婢學夫人(猜一三國人名),糜竺,法正,許褚,2
不要動(猜本省大學),靜宜大學,中正大學,政治大學,1
布帛長短同，衣前後，左右手，空空如也。(猜一衣著名),長袖,背心,外套,2
怕火(猜一字),煮,燙,煨,3
翩翩雄與雌(猜一鳥名),麻雀,海鷗,比翼鳥,3
瀑布(猜一字),淋,沐,泣,3
馬鳴聲蕭蕭(捲簾格，猜一動物名),響尾蛇,大蟒蛇,龜殼花,1
馬的嘴空(猜一字),嘛,媽,嗎,3
沒有一點良心(猜一字),恨,惜,忻,1
梅雪爭妍 (猜一字),皆,偕,階,1
美好的開端 (猜一字),義,美,姜,3
某家有對姊妹花，容貌長得一模樣，不在閨中做針線，卻在廳堂乘風涼。(猜一物品名),壁畫,對聯,春聯,2
滿身是箭一將軍，走起路來滿滾。(猜一獸名),響尾蛇,穿山甲,刺蝟,3
滿座重聞皆掩泣 (猜一武器名),閃光彈,催淚彈,未爆彈,2
廟在山邊(猜一字),肆,嗣,峙　,3
面君(猜一字),歸,見,規,3
民航機開張(猜一成語),自給自足,事事順利,有機可乘,3
民性野蠻而行動怪異(猜一國名),立陶宛,阿根廷,土耳其,3
鳴金收兵罷戰場(猜一魚名),金鐘,鯉魚,白鯧魚,1
發福夫妻(猜一大陸地名),北京,西安,合肥,3
梵王宮殿日輪臺 (猜一字),時,區,間,1
分分秒秒，目不轉睛。（猜一字）,盯,盼,瞪,2
焚林(猜一字),杰,焚,樵,2
防颱中心失職(猜一成語),耐人尋味,一知半解,不解風情,3
鳳鳴岐山(猜一紅樓夢人名),賈寶玉,周瑞,探春,2
夫妻一世紀(猜一花名),玫瑰,向日葵,百合,3
斧斬直樹(猜一字),鋅,忻,新,3
大補丸(猜一台灣地名),知本,東港　,丹大,3
大人背小孩。（猜一字）,輩,尖,章,2
大無人在(猜一字),土,太,一,3
大王頭上長兩隻角(猜一字),美,姜,義,1
得人者昌(猜一字),倡,傖,昌,1
戴紅帽，穿白衣，陸上走，水上飄。(猜一家禽名),鵝,鴨,雞,1
道人偏要練黃金(猜一國名),俄羅斯,冰島,不丹,3
豆種在山腳下(猜一字),痘,豈,荳,2
誕辰(猜一字),普,慶,星,3
地上小青龍，眼睛一點紅，嘴裡吐煙霧，為你除蚊蟲。(猜一物名),香煙,蚊香,煙火,2
杜絕去路(猜一魚名),虱目,土虱,娃娃魚,1
渡河沙無聲(猜一獸名),狗,狼,狐,3
多開口則易惹是非(猜一字),匪,區,啡,1
對我燕子連排(猜一家禽名),鵝,豬,牛,1
洞裡會郎君(猜一字),規,覓,窺,3
太陽系(猜一國名),美國,日本,地中海,2
太陽照廟宇 (猜一字),時,峙,寺,1
